CPV Code,Name,Description
14000000,"Gruvedrift,","grunnmetaller og relaterte produkterSand og leireGrus, sand, knuste stein og tilslagsmaterialerSandNatursandKorn, steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialerSmåstein og grusSmåsteinGrusTilslagsmaterialerBlandinger av sand og grusKnust steinPukkKnust granittKnust basaltJordMatjordUnderjordSteinflisMakadam, asfalt og asfaltsandMakadamAsfaltAsfaltsandLeire og kaolinLeireKaolinKjemiske mineraler og gjødningsmineralerGjødningsmineralerNaturlig kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalterNaturlig kalsiumAluminiumkalsiumfosfaterRå naturlige kaliumsalterSvovelkisIkke brent svovelkisKjemiske mineralerSalt og ren natriumkloridSteinsaltHavsaltInndamped salt og ren natriumkloridSaltlakeProdukter relatert til gruve- og bergverksdrift og steinbruddEdelstein og halvedelstein; pimpstein; smergel; naturlige slipemidler, andre mineraler og edle metallerEdelstein og halvedelsteinEdelsteinStøv eller pulver av edelsteinHalvedelsteinStøv eller pulver av halvedelsteinIndustridiamanter; pimpstein; smergel og andre naturlige slipemidlerPimpsteinIndustridiamanterSmergelNaturlige slipemidlerBeslektede mineraler, edle metaller og produkter heravMineralerGullSølvPlatinaMetallmalmer og legeringerMetalliske malmerJernmalmerIkke-jernholdige metallmalmerKobbermalmNikkelmalmAluminiummalmEdelmetallmalmBlymalmZinkmalmTinnmalmUran- og thoriummalmUranmalmerThoriummalmerDiverse malmerLegeringerJernlegeringerJernlegeringer, ikke omfattet av EKSFFerro-manganJernkromJernnikkelStålSlagg, avfall, skrap og skrot av jernGrunnmetallerJern, bly, sink, tinn og kopperJernRåjernBlySinkTinnKopperAluminium, nikkel, scandium, titanium og vanadiumAluminiumAluminiumoksidNikkelScandiumTitaniumVanadiumKrom, mangan, kobolt, yttrium og zirkonium.Krom,ManganKoboltYttriumZirkoniumMolybden, technetium, ruthenium og rhodium.MolybdenTechnetium.Ruthenium.Rhodium.Kadmium, lutetium, hafnium, tantal og wolframKadmiumLutetium,HafniumTantalWolframIridium, gallium, indium, thalliums og barium.IridiumGalliumIndiumThalliumsBariumCesium, strontium, rubidium og kalsiumCesiumStrontiumRubidiumKalsiumKalium, magnesium, natrium and litium.Kalium,Magnesium,NatriumLitium.Niob, osmium, rhenium og palladiumNiobOsmiumRheniumPalladiumDiverse ikke-metalliske mineralprodukterSlipeprodukterMøllestein, slipestein og slipeskiverMøllesteinSlipesteinSlipeskiverSlipemidler som pulver eller kornKunstig korund (aluminiumoksid)Kunstig grafittGlassGlassfiberGjenvunnet sekundære råmaterialerGjenvunnet sekundære råmaterialer av metallGjenvunnet sekundære råmaterialer av ikke-metallAske og rester som inneholder metaller"
14200000,Sand,"og leireGrus, sand, knuste stein og tilslagsmaterialerSandNatursandKorn, steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialerSmåstein og grusSmåsteinGrusTilslagsmaterialerBlandinger av sand og grusKnust steinPukkKnust granittKnust basaltJordMatjordUnderjordSteinflisMakadam, asfalt og asfaltsandMakadamAsfaltAsfaltsandLeire og kaolinLeireKaolin"
14210000,"Grus,","sand, knuste stein og tilslagsmaterialerSandNatursandKorn, steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialerSmåstein og grusSmåsteinGrusTilslagsmaterialerBlandinger av sand og grusKnust steinPukkKnust granittKnust basaltJordMatjordUnderjordSteinflisMakadam, asfalt og asfaltsandMakadamAsfaltAsfaltsand"
14212000,"Korn,","steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialerSmåstein og grusSmåsteinGrusTilslagsmaterialerBlandinger av sand og grusKnust steinPukkKnust granittKnust basaltJordMatjordUnderjordSteinflis"
14212100,Småstein,og grusSmåsteinGrus
14212200,Tilslagsmaterialer,av sand og grus
14212210,Blandinger,av sand og grus | av sand og grus
14212300,Knust,steinPukkKnust granittKnust basalt
14212320,Knust,granitt
14212330,Knust,basalt
14213000,"Makadam,",asfalt og asfaltsandMakadamAsfaltAsfaltsand
14220000,Leire,og kaolinLeireKaolin
14300000,Kjemiske,"mineraler og gjødningsmineralerGjødningsmineralerNaturlig kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalterNaturlig kalsiumAluminiumkalsiumfosfaterRå naturlige kaliumsalterSvovelkisIkke brent svovelkisKjemiske mineraler"
14310000,Gjødningsmineraler,"kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalterNaturlig kalsiumAluminiumkalsiumfosfaterRå naturlige kaliumsalterSvovelkisIkke brent svovelkis"
14311000,Naturlig,"kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalterNaturlig kalsiumAluminiumkalsiumfosfaterRå naturlige kaliumsalterSvovelkisIkke brent svovelkis | kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalterNaturlig kalsiumAluminiumkalsiumfosfaterRå naturlige kaliumsalter"
14311100,Naturlig,kalsium
14311300,Rå,naturlige kaliumsalter
14312000,Svovelkis,brent svovelkis
14312100,Ikke,brent svovelkis | brent svovelkis
14320000,Kjemiske,mineraler
14400000,Salt,og ren natriumkloridSteinsaltHavsaltInndamped salt og ren natriumkloridSaltlake
14430000,Inndamped,salt og ren natriumklorid
14500000,Produkter,"relatert til gruve- og bergverksdrift og steinbruddEdelstein og halvedelstein; pimpstein; smergel; naturlige slipemidler, andre mineraler og edle metallerEdelstein og halvedelsteinEdelsteinStøv eller pulver av edelsteinHalvedelsteinStøv eller pulver av halvedelsteinIndustridiamanter; pimpstein; smergel og andre naturlige slipemidlerPimpsteinIndustridiamanterSmergelNaturlige slipemidlerBeslektede mineraler, edle metaller og produkter heravMineralerGullSølvPlatina"
14520000,Edelstein,"og halvedelstein; pimpstein; smergel; naturlige slipemidler, andre mineraler og edle metallerEdelstein og halvedelsteinEdelsteinStøv eller pulver av edelsteinHalvedelsteinStøv eller pulver av halvedelsteinIndustridiamanter; pimpstein; smergel og andre naturlige slipemidlerPimpsteinIndustridiamanterSmergelNaturlige slipemidlerBeslektede mineraler, edle metaller og produkter heravMineralerGullSølvPlatina"
14521000,Edelstein,og halvedelsteinEdelsteinStøv eller pulver av edelsteinHalvedelsteinStøv eller pulver av halvedelstein
14521100,Edelstein,eller pulver av edelstein
14521140,Støv,eller pulver av edelstein | eller pulver av edelstein
14521200,Halvedelstein,eller pulver av halvedelstein
14521210,Støv,eller pulver av halvedelstein | eller pulver av halvedelstein
14522000,Industridiamanter;,pimpstein; smergel og andre naturlige slipemidlerPimpsteinIndustridiamanterSmergelNaturlige slipemidler
14522400,Naturlige,slipemidler
14523000,Beslektede,"mineraler, edle metaller og produkter heravMineralerGullSølvPlatina"
14600000,Metallmalmer,"og legeringerMetalliske malmerJernmalmerIkke-jernholdige metallmalmerKobbermalmNikkelmalmAluminiummalmEdelmetallmalmBlymalmZinkmalmTinnmalmUran- og thoriummalmUranmalmerThoriummalmerDiverse malmerLegeringerJernlegeringerJernlegeringer, ikke omfattet av EKSFFerro-manganJernkromJernnikkelStålSlagg, avfall, skrap og skrot av jern"
14610000,Metalliske,malmerJernmalmerIkke-jernholdige metallmalmerKobbermalmNikkelmalmAluminiummalmEdelmetallmalmBlymalmZinkmalmTinnmalmUran- og thoriummalmUranmalmerThoriummalmerDiverse malmer
14612000,Ikke-jernholdige,metallmalmerKobbermalmNikkelmalmAluminiummalmEdelmetallmalmBlymalmZinkmalmTinnmalm
14613000,Uran-,og thoriummalmUranmalmerThoriummalmer
14614000,Diverse,malmer
14620000,Legeringer,ikke omfattet av EKSFFerro-manganJernkromJernnikkelStål
14621000,Jernlegeringer,ikke omfattet av EKSFFerro-manganJernkromJernnikkelStål | ikke omfattet av EKSFFerro-manganJernkromJernnikkel
14621100,"Jernlegeringer,",ikke omfattet av EKSFFerro-manganJernkromJernnikkelStål | ikke omfattet av EKSFFerro-manganJernkromJernnikkel | ikke omfattet av EKSFFerro-manganJernkromJernnikkel
14630000,"Slagg,","avfall, skrap og skrot av jern"
14700000,Grunnmetaller,"bly, sink, tinn og kopperJernRåjernBlySinkTinnKopperAluminium, nikkel, scandium, titanium og vanadiumAluminiumAluminiumoksidNikkelScandiumTitaniumVanadiumKrom, mangan, kobolt, yttrium og zirkonium.Krom,ManganKoboltYttriumZirkoniumMolybden, technetium, ruthenium og rhodium.MolybdenTechnetium.Ruthenium.Rhodium.Kadmium, lutetium, hafnium, tantal og wolframKadmiumLutetium,HafniumTantalWolframIridium, gallium, indium, thalliums og barium.IridiumGalliumIndiumThalliumsBariumCesium, strontium, rubidium og kalsiumCesiumStrontiumRubidiumKalsiumKalium, magnesium, natrium and litium.Kalium,Magnesium,NatriumLitium.Niob, osmium, rhenium og palladiumNiobOsmiumRheniumPalladium"
